iter	Logloss
0	0.6818588243
1	0.6715218689
2	0.6611559587
3	0.6520745538
4	0.6443191616
5	0.635649104
6	0.6274903566
7	0.6197022221
8	0.6120544871
9	0.6053780692
10	0.5989353468
11	0.5928998631
12	0.5854436734
13	0.5789818324
14	0.5733601641
15	0.5679130172
16	0.5629675747
17	0.5590348658
18	0.5552595102
19	0.5510333307
20	0.5472099058
21	0.5429825983
22	0.5388216073
23	0.535468825
24	0.5310330836
25	0.5281484614
26	0.5239379977
27	0.5208159924
28	0.5174633995
29	0.5147229214
30	0.5117533639
31	0.5090917875
32	0.5068149102
33	0.5045002481
34	0.5014593923
35	0.4994754736
36	0.4967502389
37	0.4944448461
38	0.4921617978
39	0.489952954
40	0.4881353389
41	0.4863961126
42	0.4841468842
43	0.4813544865
44	0.4798807018
45	0.4777053965
46	0.4768203686
47	0.4753469516
48	0.4738395733
49	0.4720615239
50	0.4703971037
51	0.4692077691
52	0.4680414946
53	0.466387069
54	0.4653638027
55	0.4641804094
56	0.4631397907
57	0.4619431763
58	0.4608772474
59	0.4595082122
60	0.4581209925
61	0.4572987548
62	0.4562017376
63	0.4541158933
64	0.4529842926
65	0.4520088557
66	0.4512231794
67	0.4501789824
68	0.4491922021
69	0.4479170594
70	0.4465066308
71	0.445654334
72	0.4449157397
73	0.4441014757
74	0.4430671887
75	0.4423130626
76	0.4414825398
77	0.4404473529
78	0.439707659
79	0.4385532041
80	0.4376578144
81	0.4370188135
82	0.4363117433
83	0.4355306986
84	0.435117173
85	0.4343704442
86	0.4334313447
87	0.4328134946
88	0.4321121282
89	0.4314304602
90	0.4309414623
91	0.4302674713
92	0.4298084613
93	0.4293740101
94	0.4282323818
95	0.4278297151
96	0.4271342487
97	0.4263332045
98	0.4258258858
99	0.4251664385
100	0.4244386156
101	0.4237690602
102	0.4233370515
103	0.4225545382
104	0.4220318415
105	0.4210603333
106	0.4205597601
107	0.4198163582
108	0.419303337
109	0.4188984628
110	0.4184570096
111	0.417819724
112	0.4174402784
113	0.4168896263
114	0.416342218
115	0.4160081914
116	0.4154016309
117	0.4148795646
118	0.4143313243
119	0.4139550656
120	0.4136637169
121	0.4133730866
122	0.4126526719
123	0.4120774691
124	0.4118746219
125	0.4113628985
126	0.4109405758
127	0.4103056331
128	0.4099322236
129	0.409373859
130	0.4088276106
131	0.4083930018
132	0.4077568293
133	0.4074145844
134	0.4070472641
135	0.406637526
136	0.4061674876
137	0.4055253691
138	0.405124047
139	0.4048631579
140	0.404529332
141	0.4042936883
142	0.4039077186
143	0.4035633202
144	0.4032340136
145	0.4029042588
146	0.4026793704
147	0.4016421827
148	0.4013989008
149	0.4009936835
150	0.4007074384
151	0.400416326
152	0.4002470572
153	0.3999782189
154	0.399737222
155	0.3994076345
156	0.3991745682
157	0.3989231608
158	0.3984945573
159	0.3981278506
160	0.3978992126
161	0.3976063463
162	0.3973815178
163	0.3970902691
164	0.3969023358
165	0.3964379477
166	0.3956763794
167	0.3954251395
168	0.3945161451
169	0.3939641979
170	0.3936877659
171	0.3933735194
172	0.3928591471
173	0.3925964077
174	0.3918629955
175	0.3910438296
176	0.3908678047
177	0.39065054
178	0.3903802255
179	0.3898548344
180	0.3895800572
181	0.3893790683
182	0.3891157946
183	0.3888153073
184	0.3886498593
185	0.3884104699
186	0.3881204849
187	0.3877270822
188	0.3875353633
189	0.3872847398
190	0.3869930473
191	0.3867869951
192	0.3865135623
193	0.3862122353
194	0.3860827094
195	0.3858942283
196	0.385712208
197	0.3853881331
198	0.3850964827
199	0.384998164
200	0.3848507201
201	0.3845168784
202	0.3839959309
203	0.3834525948
204	0.3832283723
205	0.3830220964
206	0.3828041229
207	0.3825922065
208	0.3823971503
209	0.3821398391
210	0.3818216658
211	0.3816524216
212	0.3812409377
213	0.3809865771
214	0.3808098288
215	0.3804539477
216	0.380113157
217	0.3794672504
218	0.3792379531
219	0.3790302711
220	0.3788656174
221	0.3786843484
222	0.3784521133
223	0.3782143356
224	0.3780329339
225	0.3778924093
226	0.3775952677
227	0.3773803583
228	0.377151938
229	0.3769258126
230	0.3767493813
231	0.3765472875
232	0.3763391327
233	0.3761989426
234	0.3760303548
235	0.375789669
236	0.3754648468
237	0.3753249608
238	0.3752070027
239	0.3750612644
240	0.3748303691
241	0.3746424585
242	0.3745022843
243	0.3743275533
244	0.374014929
245	0.3737742928
246	0.3735506324
247	0.3733156069
248	0.3731264768
249	0.3729029893
250	0.3726570522
251	0.3724759661
252	0.3722919734
253	0.3721151946
254	0.3715762663
255	0.3714463666
256	0.3711363252
257	0.3709354758
258	0.3707624881
259	0.3706830094
260	0.3702579554
261	0.3700515834
262	0.3698474363
263	0.369574362
264	0.3693974464
265	0.3691859855
266	0.3690598239
267	0.3689145766
268	0.3686617767
269	0.3684591758
270	0.3683193812
271	0.3682014686
272	0.3678879243
273	0.3676871889
274	0.3675805754
275	0.3674397895
276	0.3672669966
277	0.3671138696
278	0.3669285246
279	0.3668087364
280	0.366547422
281	0.36643311
282	0.3662951904
283	0.3661353102
284	0.365991419
285	0.3658439493
286	0.3655868766
287	0.3655241577
288	0.3653428431
289	0.3651841723
290	0.3650423342
291	0.3649299817
292	0.3647702199
293	0.3645663808
294	0.3643721064
295	0.3642211165
296	0.3641126934
297	0.3639024853
298	0.363792702
299	0.3636739615
300	0.3634737891
301	0.3633053642
302	0.3631215432
303	0.3629024374
304	0.362762603
305	0.3626550204
306	0.3625154494
307	0.362381767
308	0.3622444918
309	0.3617514312
310	0.3616361884
311	0.3613624411
312	0.3612402263
313	0.3611185347
314	0.3610202873
315	0.3609012509
316	0.3606824668
317	0.3603594036
318	0.3601771891
319	0.3600789429
320	0.3599515291
321	0.359795127
322	0.3596405771
323	0.3595030412
324	0.3593181299
325	0.3591248336
326	0.3587475405
327	0.3586054131
