iter	Passed	Remaining
0	8	8472
1	16	8032
2	24	8179
3	31	7758
4	39	7875
5	46	7667
6	54	7737
7	61	7573
8	68	7594
9	75	7503
10	82	7414
11	90	7458
12	97	7381
13	106	7517
14	113	7477
15	122	7512
16	128	7446
17	138	7547
18	145	7492
19	154	7589
20	164	7679
21	179	7965
22	193	8231
23	205	8363
24	219	8554
25	226	8500
26	237	8553
27	247	8587
28	255	8555
29	263	8525
30	270	8459
31	277	8385
32	285	8379
33	292	8311
34	301	8310
35	308	8247
36	317	8252
37	324	8206
38	332	8189
39	338	8133
40	347	8124
41	353	8072
42	361	8055
43	368	8010
44	375	7971
45	383	7956
46	390	7912
47	398	7901
48	404	7860
49	413	7856
50	420	7832
51	430	7842
52	438	7826
53	447	7836
54	454	7817
55	464	7827
56	472	7813
57	481	7826
58	489	7807
59	499	7822
60	506	7800
61	516	7808
62	522	7775
63	530	7763
64	538	7741
65	546	7731
66	552	7700
67	561	7691
68	567	7660
69	576	7657
70	586	7678
71	597	7700
72	604	7680
73	613	7681
74	620	7651
75	628	7640
76	635	7613
77	643	7608
78	650	7580
79	658	7571
80	665	7545
81	673	7542
82	680	7518
83	686	7491
84	693	7466
85	700	7443
86	708	7438
87	715	7413
88	724	7414
89	731	7393
90	739	7386
91	746	7362
92	754	7356
93	761	7335
94	769	7327
95	775	7304
96	782	7283
97	790	7273
98	796	7251
99	804	7243
100	811	7222
101	819	7218
102	827	7206
103	835	7199
104	842	7178
105	849	7163
106	856	7145
107	863	7129
108	871	7121
109	878	7104
110	886	7099
111	893	7080
112	901	7073
113	907	7056
114	915	7049
115	928	7078
116	937	7074
117	944	7058
118	952	7050
119	958	7031
120	967	7026
121	973	7008
122	982	7004
123	989	6990
124	997	6984
125	1004	6968
126	1012	6960
127	1020	6953
128	1027	6938
129	1035	6927
130	1041	6911
131	1050	6905
132	1056	6888
133	1064	6882
134	1071	6868
135	1079	6860
136	1087	6847
137	1095	6842
138	1102	6827
139	1110	6821
140	1117	6806
141	1123	6790
142	1132	6788
143	1140	6778
144	1149	6778
145	1157	6769
146	1165	6761
147	1174	6762
148	1187	6781
149	1201	6807
150	1211	6811
151	1219	6802
152	1225	6786
153	1233	6774
154	1241	6768
155	1248	6752
156	1256	6748
157	1263	6733
158	1272	6731
159	1279	6716
160	1285	6701
161	1293	6693
162	1300	6679
163	1309	6672
164	1315	6657
165	1324	6652
166	1331	6640
167	1339	6632
168	1346	6619
169	1354	6614
170	1361	6600
171	1369	6592
172	1376	6579
173	1383	6565
174	1391	6560
175	1398	6547
176	1407	6543
177	1414	6530
178	1422	6526
179	1429	6514
180	1438	6509
181	1444	6494
182	1453	6488
183	1459	6473
184	1468	6468
185	1474	6454
186	1481	6441
187	1490	6436
188	1496	6422
189	1504	6414
190	1511	6400
191	1519	6396
192	1526	6383
193	1534	6374
194	1541	6364
195	1549	6356
196	1556	6342
197	1562	6329
198	1571	6323
199	1577	6310
200	1585	6303
201	1592	6291
202	1600	6283
203	1607	6271
204	1615	6265
205	1622	6254
206	1629	6241
207	1637	6233
208	1643	6220
209	1651	6213
210	1658	6200
211	1666	6194
212	1673	6182
213	1682	6179
214	1688	6166
215	1697	6160
216	1703	6148
217	1712	6141
218	1718	6128
219	1725	6117
220	1734	6113
221	1740	6100
222	1748	6093
223	1755	6081
224	1763	6074
225	1770	6062
226	1778	6056
227	1785	6045
228	1794	6042
229	1802	6034
230	1810	6027
231	1817	6016
232	1823	6004
233	1831	5996
234	1838	5985
235	1847	5981
236	1854	5970
237	1863	5965
238	1869	5954
239	1878	5948
240	1885	5937
241	1893	5931
242	1900	5919
243	1908	5913
244	1915	5902
245	1922	5891
246	1930	5883
247	1937	5873
248	1946	5869
249	1952	5858
250	1961	5852
251	1968	5841
252	1976	5835
253	1983	5824
254	1991	5817
255	1997	5806
256	2009	5808
257	2016	5798
258	2024	5791
259	2031	5781
260	2039	5775
261	2046	5764
262	2054	5756
263	2062	5748
264	2068	5738
265	2077	5731
266	2083	5720
267	2091	5713
268	2098	5701
269	2106	5696
270	2113	5684
271	2121	5677
272	2127	5666
273	2135	5659
274	2142	5648
275	2149	5637
276	2157	5631
277	2164	5620
278	2173	5616
279	2180	5606
280	2189	5602
281	2196	5592
282	2204	5585
283	2211	5574
284	2219	5567
285	2225	5556
286	2232	5545
287	2240	5538
288	2246	5527
289	2255	5522
290	2262	5511
291	2271	5506
292	2278	5497
293	2286	5490
294	2292	5478
295	2300	5471
296	2307	5460
297	2313	5450
298	2321	5443
299	2328	5433
300	2337	5427
301	2343	5416
302	2352	5411
303	2359	5401
304	2367	5395
305	2375	5386
306	2383	5380
307	2389	5369
308	2398	5363
309	2405	5353
310	2411	5343
311	2419	5336
312	2426	5326
313	2434	5319
314	2441	5309
315	2449	5302
316	2456	5292
317	2464	5285
318	2471	5275
319	2477	5265
320	2485	5257
321	2492	5247
322	2499	5239
